Transaction_Date,Transaction_Amount,Transaction_Category,Transaction_Type,Income_source,Merchant,Location,Current_Amount,Credit/Debit
2022-05-25,848.67,Personal Care,Prepaid Debit Cards,None,Taxi Service,solapur,1241347.95,Debit
2022-05-26,946.03,Charitable Donations,Online Banking,None,Local Farmers' Market,mumbai,1240401.92,Debit
2022-05-26,360.71,Savings and Investments,Cash,Business,Grocery Store,delhi,1240762.62,Credit
2022-05-26,703.14,Part-Time Work,Credit Card,Salary,Grocery Store,satara,1241465.77,Credit
2022-05-26,79.43,Personal Care,Debit Card,None,Taxi Service,mumbai,1241386.33,Debit
2022-05-26,801.45,Insurance,Checks,None,Gym Membership,solapur,1240584.88,Debit
2022-05-27,166.82,Debt Payments,Mobile Payments,None,ATM Withdrawal,pune,1240418.07,Debit
2022-05-27,495.52,Personal Care,Prepaid Debit Cards,None,Rent Payment,satara,1239922.54,Debit
2022-05-27,632.43,Annuities,Credit Card,Other,Restaurant,thane,1240554.97,Credit
2022-05-27,858.12,Debt Payments,Debit Card,None,ATM Withdrawal,mumbai,1239696.85,Debit
2022-05-28,183.3,Debt Payments,Online Banking,None,Bookstore,solapur,1239513.55,Debit
2022-05-28,240.86,Insurance,Prepaid Debit Cards,None,Rent Payment,nagpur,1239272.69,Debit
