Transaction_Date,Transaction_Amount,Transaction_Category,Transaction_Type,Income_source,Merchant,Location,Current_Amount,Credit/Debit
18-01-2022,626.07,Part-Time Work,Mobile Payments,Business,Utility Company,solapur,1246601.69,Credit
18-01-2022,884.72,Personal Care,Checks,None,Coffee Shop,solapur,1245716.97,Debit
18-01-2022,350.13,Charitable Donations,Debit Card,None,Taxi Service,solapur,1245366.84,Debit
18-01-2022,812.6,Part-Time Work,Debit Card,Investments,Subscription Service,delhi,1246179.44,Credit
18-01-2022,98.21,Charitable Donations,Checks,None,Coffee Shop,nagpur,1246081.22,Debit
19-01-2022,57.2,Insurance,Online Banking,None,Coffee Shop,solapur,1246024.03,Debit
19-01-2022,278.85,Taxes,Checks,None,Car Repair Shop,delhi,1245745.18,Debit
20-01-2022,387.37,Social Security,Checks,Business,Restaurant,solapur,1246132.55,Credit
20-01-2022,968.54,Debt Payments,Prepaid Debit Cards,None,Coffee Shop,mumbai,1245164.01,Debit
20-01-2022,669.54,Social Security,Prepaid Debit Cards,Investments,Healthcare Provider,thane,1245833.55,Credit
20-01-2022,61.33,Entertainment and Leisure,Prepaid Debit Cards,None,ATM Withdrawal,delhi,1245772.22,Debit
20-01-2022,19.1,Annuities,Prepaid Debit Cards,Investments,Travel Agency,nagpur,1245791.32,Credit
20-01-2022,130.25,Insurance,Checks,None,Taxi Service,solapur,1245661.07,Debit
21-01-2022,355.53,Debt Payments,Checks,None,Rent Payment,delhi,1245305.54,Debit
21-01-2022,179.8,Savings and Investments,Checks,Investments,Grocery Store,pune,1245485.34,Credit
21-01-2022,220.42,Taxes,Mobile Payments,None,Car Repair Shop,pune,1245264.93,Debit
21-01-2022,67.87,Consulting or Freelancing,Mobile Payments,Investments,Restaurant,delhi,1245332.79,Credit
21-01-2022,761.69,Taxes,Online Banking,None,Car Repair Shop,satara,1244571.1,Debit
21-01-2022,278.63,Part-Time Work,Online Banking,Other,Electronics Store,satara,1244849.73,Credit
22-01-2022,65.49,Social Security,Online Banking,Business,Grocery Store,solapur,1244915.23,Credit
22-01-2022,548.29,Part-Time Work,Online Banking,Investments,Clothing Boutique,nagpur,1245463.51,Credit
22-01-2022,269.01,Part-Time Work,Online Banking,Other,Restaurant,mumbai,1245732.52,Credit
22-01-2022,435.53,Entertainment and Leisure,Mobile Payments,None,ATM Withdrawal,delhi,1245296.99,Debit
22-01-2022,309.09,Charitable Donations,Online Banking,None,Local Farmers' Market,satara,1244987.91,Debit
23-01-2022,561.85,Debt Payments,Checks,None,Local Farmers' Market,satara,1244426.06,Debit
23-01-2022,736.59,Part-Time Work,Checks,Salary,Travel Agency,satara,1245162.65,Credit
23-01-2022,223.62,Personal Care,Prepaid Debit Cards,None,Local Farmers' Market,mumbai,1244939.03,Debit
23-01-2022,814.48,Consulting or Freelancing,Prepaid Debit Cards,Salary,Clothing Boutique,pune,1245753.51,Credit
23-01-2022,807.77,Miscellaneous Expenses,Checks,None,Coffee Shop,delhi,1244945.75,Debit
23-01-2022,367.53,Charitable Donations,Prepaid Debit Cards,None,Taxi Service,pune,1244578.22,Debit
24-01-2022,63.9,Annuities,Prepaid Debit Cards,Other,Subscription Service,mumbai,1244642.11,Credit
24-01-2022,460.02,Personal Care,Debit Card,None,Rent Payment,thane,1244182.1,Debit
24-01-2022,817.31,Annuities,Debit Card,Business,Grocery Store,satara,1244999.41,Credit
24-01-2022,841.18,Social Security,Debit Card,Investments,Restaurant,mumbai,1245840.59,Credit
25-01-2022,675.51,Miscellaneous Expenses,Mobile Payments,None,Local Farmers' Market,pune,1245165.08,Debit
25-01-2022,294.96,Social Security,Mobile Payments,Investments,Utility Company,nagpur,1245460.04,Credit
25-01-2022,897.54,Consulting or Freelancing,Mobile Payments,Other,Electronics Store,mumbai,1246357.58,Credit
26-01-2022,652.08,Personal Care,Checks,None,Bookstore,delhi,1245705.49,Debit
26-01-2022,45.57,Part-Time Work,Checks,Business,Healthcare Provider,delhi,1245751.06,Credit
26-01-2022,291.09,Pension Plans,Checks,Investments,Restaurant,nagpur,1246042.16,Credit
27-01-2022,442.92,Insurance,Mobile Payments,None,Car Repair Shop,pune,1245599.24,Debit
27-01-2022,172.92,Insurance,Mobile Payments,None,Local Farmers' Market,pune,1245426.32,Debit
28-01-2022,622.15,Part-Time Work,Mobile Payments,Business,Grocery Store,nagpur,1246048.47,Credit
28-01-2022,621.11,Miscellaneous Expenses,Debit Card,None,ATM Withdrawal,delhi,1245427.36,Debit
28-01-2022,259.46,Insurance,Debit Card,None,Gym Membership,nagpur,1245167.9,Debit
28-01-2022,748.67,Part-Time Work,Debit Card,Business,Electronics Store,mumbai,1245916.57,Credit
28-01-2022,13.4,Debt Payments,Prepaid Debit Cards,None,Car Repair Shop,pune,1245903.18,Debit
28-01-2022,961.12,Social Security,Prepaid Debit Cards,Investments,Restaurant,satara,1246864.3,Credit
01-02-2022,752.06,Personal Care,Prepaid Debit Cards,None,Gym Membership,delhi,1246112.24,Debit
01-02-2022,58.75,Entertainment and Leisure,Checks,None,Gym Membership,delhi,1246053.48,Debit
01-02-2022,547.14,Insurance,Mobile Payments,None,Coffee Shop,pune,1245506.35,Debit
01-02-2022,740.13,Entertainment and Leisure,Mobile Payments,None,Rent Payment,mumbai,1244766.21,Debit
01-02-2022,13.56,Insurance,Mobile Payments,None,Car Repair Shop,mumbai,1244752.66,Debit
02-02-2022,462.72,Consulting or Freelancing,Mobile Payments,Other,Healthcare Provider,thane,1245215.38,Credit
02-02-2022,262.28,Social Security,Mobile Payments,Investments,Grocery Store,nagpur,1245477.65,Credit
02-02-2022,498.29,Insurance,Mobile Payments,None,Local Farmers' Market,nagpur,1244979.36,Debit
02-02-2022,854.21,Social Security,Mobile Payments,Investments,Subscription Service,thane,1245833.58,Credit
02-02-2022,622.68,Entertainment and Leisure,Prepaid Debit Cards,None,Car Repair Shop,mumbai,1245210.89,Debit
02-02-2022,639.69,Taxes,Prepaid Debit Cards,None,Gym Membership,thane,1244571.2,Debit
03-02-2022,716.35,Debt Payments,Mobile Payments,None,Bookstore,mumbai,1243854.86,Debit
03-02-2022,242.34,Social Security,Mobile Payments,Investments,Electronics Store,mumbai,1244097.2,Credit
03-02-2022,341.42,Personal Care,Checks,None,Taxi Service,thane,1243755.78,Debit
03-02-2022,353.04,Social Security,Checks,Other,Grocery Store,solapur,1244108.82,Credit
03-02-2022,53.18,Part-Time Work,Checks,Investments,Healthcare Provider,solapur,1244162,Credit
03-02-2022,841.8,Personal Care,Mobile Payments,None,Taxi Service,solapur,1243320.2,Debit
04-02-2022,826.27,Miscellaneous Expenses,Mobile Payments,None,Gym Membership,satara,1242493.93,Debit
04-02-2022,980.56,Savings and Investments,Mobile Payments,Investments,Grocery Store,solapur,1243474.49,Credit
04-02-2022,138.39,Social Security,Mobile Payments,Investments,Gas Station,solapur,1243612.88,Credit
04-02-2022,286.86,Personal Care,Prepaid Debit Cards,None,Bookstore,nagpur,1243326.02,Debit
05-02-2022,939.29,Taxes,Checks,None,Gym Membership,delhi,1242386.73,Debit
05-02-2022,395.89,Entertainment and Leisure,Mobile Payments,None,Rent Payment,pune,1241990.84,Debit
05-02-2022,8.24,Consulting or Freelancing,Mobile Payments,Investments,Gas Station,thane,1241999.07,Credit
05-02-2022,999.99,Consulting or Freelancing,Mobile Payments,Business,Clothing Boutique,delhi,1242999.06,Credit
06-02-2022,204.32,Pension Plans,Mobile Payments,Investments,Gas Station,satara,1243203.38,Credit
06-02-2022,510.08,Entertainment and Leisure,Mobile Payments,None,Taxi Service,mumbai,1242693.3,Debit
06-02-2022,310.68,Annuities,Mobile Payments,Salary,Clothing Boutique,pune,1243003.98,Credit
06-02-2022,659.89,Social Security,Mobile Payments,Other,Subscription Service,solapur,1243663.87,Credit
06-02-2022,181.92,Pension Plans,Mobile Payments,Other,Gas Station,delhi,1243845.79,Credit
07-02-2022,561.05,Entertainment and Leisure,Checks,None,Bookstore,satara,1243284.74,Debit
07-02-2022,791.92,Consulting or Freelancing,Checks,Investments,Travel Agency,satara,1244076.66,Credit
07-02-2022,916.29,Savings and Investments,Checks,Salary,Clothing Boutique,mumbai,1244992.96,Credit
07-02-2022,422.09,Social Security,Checks,Salary,Grocery Store,delhi,1245415.05,Credit
07-02-2022,535.85,Debt Payments,Prepaid Debit Cards,None,Gym Membership,pune,1244879.2,Debit
08-02-2022,491.26,Charitable Donations,Checks,None,ATM Withdrawal,delhi,1244387.94,Debit
08-02-2022,792.5,Savings and Investments,Checks,Investments,Grocery Store,mumbai,1245180.45,Credit
08-02-2022,604.39,Miscellaneous Expenses,Mobile Payments,None,Taxi Service,thane,1244576.06,Debit
08-02-2022,158.91,Savings and Investments,Mobile Payments,Investments,Travel Agency,solapur,1244734.96,Credit
08-02-2022,835.61,Debt Payments,Checks,None,Car Repair Shop,solapur,1243899.35,Debit
09-02-2022,210.62,Consulting or Freelancing,Checks,Business,Restaurant,pune,1244109.97,Credit
09-02-2022,132.1,Consulting or Freelancing,Checks,Salary,Clothing Boutique,nagpur,1244242.07,Credit
10-02-2022,734.25,Miscellaneous Expenses,Mobile Payments,None,Taxi Service,mumbai,1243507.82,Debit
10-02-2022,765.19,Personal Care,Prepaid Debit Cards,None,ATM Withdrawal,satara,1242742.64,Debit
11-02-2022,553.87,Entertainment and Leisure,Online Banking,None,Rent Payment,satara,1242188.77,Debit
11-02-2022,827.17,Pension Plans,Online Banking,Business,Utility Company,solapur,1243015.94,Credit
11-02-2022,765.22,Savings and Investments,Online Banking,Salary,Travel Agency,solapur,1243781.16,Credit
12-02-2022,792.16,Entertainment and Leisure,Mobile Payments,None,Taxi Service,satara,1242989.01,Debit
12-02-2022,957.36,Part-Time Work,Mobile Payments,Investments,Grocery Store,delhi,1243946.36,Credit
12-02-2022,947.5,Taxes,Online Banking,None,Bookstore,nagpur,1242998.86,Debit
12-02-2022,168,Pension Plans,Online Banking,Salary,Subscription Service,mumbai,1243166.86,Credit
13-02-2022,649.47,Savings and Investments,Online Banking,Salary,Healthcare Provider,nagpur,1243816.34,Credit
13-02-2022,751.81,Consulting or Freelancing,Online Banking,Business,Restaurant,nagpur,1244568.15,Credit
14-02-2022,620.33,Charitable Donations,Prepaid Debit Cards,None,Coffee Shop,pune,1243947.82,Debit
14-02-2022,501.87,Savings and Investments,Prepaid Debit Cards,Investments,Gas Station,thane,1244449.69,Credit
14-02-2022,469.82,Consulting or Freelancing,Prepaid Debit Cards,Investments,Subscription Service,satara,1244919.51,Credit
14-02-2022,155.37,Part-Time Work,Prepaid Debit Cards,Business,Clothing Boutique,mumbai,1245074.88,Credit
15-02-2022,118.62,Pension Plans,Prepaid Debit Cards,Salary,Healthcare Provider,pune,1245193.51,Credit
15-02-2022,292.48,Part-Time Work,Prepaid Debit Cards,Investments,Gas Station,delhi,1245485.98,Credit
15-02-2022,650.79,Debt Payments,Debit Card,None,Car Repair Shop,pune,1244835.19,Debit
15-02-2022,563.8,Annuities,Debit Card,Business,Gas Station,mumbai,1245398.99,Credit
15-02-2022,542.09,Social Security,Debit Card,Other,Electronics Store,mumbai,1245941.08,Credit
16-02-2022,956.68,Consulting or Freelancing,Debit Card,Investments,Clothing Boutique,solapur,1246897.76,Credit
16-02-2022,400.34,Taxes,Prepaid Debit Cards,None,Bookstore,delhi,1246497.43,Debit
16-02-2022,884.12,Part-Time Work,Prepaid Debit Cards,Salary,Travel Agency,thane,1247381.55,Credit
16-02-2022,392.25,Taxes,Debit Card,None,Car Repair Shop,nagpur,1246989.3,Debit
16-02-2022,567.15,Pension Plans,Debit Card,Other,Travel Agency,nagpur,1247556.46,Credit
16-02-2022,98.22,Savings and Investments,Debit Card,Salary,Electronics Store,delhi,1247654.67,Credit
17-02-2022,974.83,Miscellaneous Expenses,Online Banking,None,ATM Withdrawal,mumbai,1246679.85,Debit
17-02-2022,152.29,Part-Time Work,Online Banking,Other,Subscription Service,nagpur,1246832.14,Credit
17-02-2022,313.14,Annuities,Online Banking,Investments,Utility Company,satara,1247145.27,Credit
17-02-2022,824.15,Annuities,Online Banking,Other,Restaurant,mumbai,1247969.42,Credit
17-02-2022,595.22,Savings and Investments,Online Banking,Business,Subscription Service,pune,1248564.64,Credit
17-02-2022,738.49,Social Security,Online Banking,Business,Grocery Store,solapur,1249303.13,Credit
18-02-2022,833.06,Consulting or Freelancing,Online Banking,Investments,Healthcare Provider,pune,1250136.19,Credit
18-02-2022,536.99,Debt Payments,Checks,None,Local Farmers' Market,nagpur,1249599.2,Debit
18-02-2022,904.97,Miscellaneous Expenses,Checks,None,ATM Withdrawal,solapur,1248694.23,Debit
18-02-2022,881.51,Social Security,Checks,Salary,Clothing Boutique,solapur,1249575.74,Credit
19-02-2022,454.49,Taxes,Debit Card,None,Coffee Shop,pune,1249121.24,Debit
19-02-2022,947.77,Miscellaneous Expenses,Debit Card,None,Rent Payment,thane,1248173.47,Debit
19-02-2022,665.7,Charitable Donations,Mobile Payments,None,Bookstore,nagpur,1247507.77,Debit
19-02-2022,54.64,Social Security,Mobile Payments,Salary,Electronics Store,delhi,1247562.41,Credit
19-02-2022,575.21,Social Security,Mobile Payments,Business,Electronics Store,thane,1248137.62,Credit
19-02-2022,198.64,Consulting or Freelancing,Mobile Payments,Business,Travel Agency,thane,1248336.26,Credit
20-02-2022,619.91,Charitable Donations,Online Banking,None,Local Farmers' Market,mumbai,1247716.35,Debit
20-02-2022,305.37,Charitable Donations,Mobile Payments,None,ATM Withdrawal,pune,1247410.98,Debit
20-02-2022,911.93,Miscellaneous Expenses,Prepaid Debit Cards,None,ATM Withdrawal,nagpur,1246499.05,Debit
20-02-2022,610.55,Annuities,Prepaid Debit Cards,Other,Utility Company,satara,1247109.6,Credit
20-02-2022,595.68,Consulting or Freelancing,Prepaid Debit Cards,Salary,Grocery Store,thane,1247705.29,Credit
20-02-2022,679.6,Miscellaneous Expenses,Prepaid Debit Cards,None,Rent Payment,nagpur,1247025.69,Debit
21-02-2022,962.85,Pension Plans,Prepaid Debit Cards,Other,Gas Station,solapur,1247988.53,Credit
21-02-2022,3.23,Miscellaneous Expenses,Online Banking,None,Taxi Service,solapur,1247985.31,Debit
21-02-2022,160.48,Savings and Investments,Online Banking,Other,Healthcare Provider,nagpur,1248145.78,Credit
21-02-2022,655.32,Miscellaneous Expenses,Checks,None,ATM Withdrawal,thane,1247490.47,Debit
21-02-2022,818.64,Savings and Investments,Checks,Salary,Electronics Store,satara,1248309.11,Credit
21-02-2022,905.25,Social Security,Checks,Investments,Utility Company,nagpur,1249214.36,Credit
22-02-2022,862.49,Annuities,Checks,Investments,Utility Company,pune,1250076.85,Credit
22-02-2022,282.96,Pension Plans,Checks,Salary,Healthcare Provider,delhi,1250359.81,Credit
22-02-2022,860.7,Personal Care,Prepaid Debit Cards,None,Rent Payment,pune,1249499.1,Debit
23-02-2022,945.79,Charitable Donations,Prepaid Debit Cards,None,Coffee Shop,mumbai,1248553.31,Debit
23-02-2022,948.99,Social Security,Prepaid Debit Cards,Other,Utility Company,solapur,1249502.3,Credit
23-02-2022,423.91,Debt Payments,Checks,None,Bookstore,pune,1249078.4,Debit
23-02-2022,271.34,Social Security,Checks,Business,Utility Company,mumbai,1249349.74,Credit
23-02-2022,436.68,Pension Plans,Checks,Salary,Grocery Store,pune,1249786.42,Credit
24-02-2022,116.37,Social Security,Checks,Salary,Restaurant,solapur,1249902.79,Credit
24-02-2022,299.57,Entertainment and Leisure,Online Banking,None,Coffee Shop,satara,1249603.22,Debit
24-02-2022,276.64,Savings and Investments,Online Banking,Other,Subscription Service,solapur,1249879.86,Credit
25-02-2022,825.49,Pension Plans,Online Banking,Business,Subscription Service,mumbai,1250705.35,Credit
25-02-2022,887.62,Social Security,Online Banking,Investments,Restaurant,pune,1251592.97,Credit
25-02-2022,916.48,Taxes,Mobile Payments,None,Gym Membership,delhi,1250676.49,Debit
25-02-2022,730.1,Consulting or Freelancing,Mobile Payments,Investments,Utility Company,thane,1251406.59,Credit
26-02-2022,575.81,Miscellaneous Expenses,Mobile Payments,None,Car Repair Shop,delhi,1250830.78,Debit
26-02-2022,353.53,Part-Time Work,Mobile Payments,Other,Restaurant,delhi,1251184.31,Credit
26-02-2022,382.56,Pension Plans,Mobile Payments,Salary,Gas Station,nagpur,1251566.87,Credit
27-02-2022,586.74,Annuities,Mobile Payments,Salary,Clothing Boutique,nagpur,1252153.62,Credit
27-02-2022,487.58,Consulting or Freelancing,Mobile Payments,Investments,Restaurant,thane,1252641.2,Credit
27-02-2022,583.65,Taxes,Checks,None,Taxi Service,satara,1252057.55,Debit
28-02-2022,260.63,Pension Plans,Checks,Investments,Travel Agency,satara,1252318.17,Credit
28-02-2022,244.62,Savings and Investments,Checks,Other,Electronics Store,thane,1252562.79,Credit
28-02-2022,132.79,Debt Payments,Prepaid Debit Cards,None,Car Repair Shop,satara,1252430,Debit
28-02-2022,437.87,Pension Plans,Prepaid Debit Cards,Other,Utility Company,nagpur,1252867.87,Credit
28-02-2022,818.51,Entertainment and Leisure,Checks,None,ATM Withdrawal,delhi,1252049.36,Debit
28-02-2022,790.8,Annuities,Checks,Salary,Gas Station,thane,1252840.16,Credit
01-03-2022,718.31,Savings and Investments,Checks,Other,Healthcare Provider,nagpur,1253558.47,Credit
01-03-2022,251.45,Personal Care,Debit Card,None,Local Farmers' Market,nagpur,1253307.02,Debit
02-03-2022,886.36,Debt Payments,Debit Card,None,Local Farmers' Market,thane,1252420.66,Debit
02-03-2022,350.58,Annuities,Debit Card,Salary,Gas Station,solapur,1252771.24,Credit
02-03-2022,163.18,Consulting or Freelancing,Debit Card,Other,Grocery Store,delhi,1252934.42,Credit
02-03-2022,846.78,Savings and Investments,Debit Card,Other,Grocery Store,pune,1253781.2,Credit
02-03-2022,448.95,Consulting or Freelancing,Debit Card,Salary,Clothing Boutique,pune,1254230.15,Credit
02-03-2022,154.53,Miscellaneous Expenses,Checks,None,Local Farmers' Market,thane,1254075.62,Debit
03-03-2022,864.14,Part-Time Work,Checks,Investments,Travel Agency,mumbai,1254939.76,Credit
03-03-2022,266.18,Debt Payments,Checks,None,Coffee Shop,solapur,1254673.57,Debit
03-03-2022,679.04,Entertainment and Leisure,Mobile Payments,None,Gym Membership,delhi,1253994.54,Debit
03-03-2022,383.91,Consulting or Freelancing,Mobile Payments,Investments,Gas Station,mumbai,1254378.44,Credit
03-03-2022,253.35,Consulting or Freelancing,Mobile Payments,Business,Subscription Service,delhi,1254631.79,Credit
03-03-2022,370.16,Part-Time Work,Mobile Payments,Investments,Clothing Boutique,thane,1255001.95,Credit
04-03-2022,970.04,Social Security,Mobile Payments,Salary,Clothing Boutique,satara,1255971.99,Credit
04-03-2022,506.59,Pension Plans,Mobile Payments,Investments,Restaurant,pune,1256478.58,Credit
05-03-2022,120.83,Miscellaneous Expenses,Debit Card,None,Local Farmers' Market,thane,1256357.75,Debit
05-03-2022,914.79,Consulting or Freelancing,Debit Card,Salary,Gas Station,thane,1257272.54,Credit
05-03-2022,874.13,Part-Time Work,Debit Card,Investments,Subscription Service,pune,1258146.67,Credit
05-03-2022,422.98,Social Security,Debit Card,Business,Utility Company,delhi,1258569.65,Credit
06-03-2022,756.46,Pension Plans,Debit Card,Salary,Utility Company,nagpur,1259326.11,Credit
06-03-2022,367.66,Annuities,Debit Card,Business,Travel Agency,thane,1259693.77,Credit
07-03-2022,715.07,Savings and Investments,Debit Card,Other,Electronics Store,pune,1260408.85,Credit
07-03-2022,760.14,Pension Plans,Debit Card,Other,Gas Station,delhi,1261168.99,Credit
07-03-2022,202.53,Savings and Investments,Debit Card,Other,Gas Station,nagpur,1261371.52,Credit
07-03-2022,640.06,Miscellaneous Expenses,Debit Card,None,Bookstore,solapur,1260731.46,Debit
07-03-2022,263.39,Miscellaneous Expenses,Checks,None,ATM Withdrawal,satara,1260468.07,Debit
07-03-2022,263.02,Miscellaneous Expenses,Online Banking,None,ATM Withdrawal,nagpur,1260205.05,Debit
08-03-2022,925.02,Miscellaneous Expenses,Prepaid Debit Cards,None,Local Farmers' Market,thane,1259280.03,Debit
08-03-2022,860.19,Pension Plans,Prepaid Debit Cards,Business,Restaurant,mumbai,1260140.21,Credit
08-03-2022,664.3,Entertainment and Leisure,Mobile Payments,None,Taxi Service,pune,1259475.92,Debit
08-03-2022,415.54,Annuities,Mobile Payments,Other,Restaurant,delhi,1259891.46,Credit
08-03-2022,949.83,Consulting or Freelancing,Mobile Payments,Other,Subscription Service,nagpur,1260841.29,Credit
